temp,dew point,humidity,wind speed,datetime
39,24,55,10,2024-02-21 17:51:00
37,22,54,12,2024-02-21 18:51:00
36,21,55,7,2024-02-21 19:51:00
36,21,55,9,2024-02-21 20:51:00
36,22,57,8,2024-02-21 21:51:00
36,22,57,7,2024-02-21 22:51:00
36,22,57,9,2024-02-21 23:51:00
42,36,79,7,2024-02-22 00:51:00
36,22,57,3,2024-02-22 01:51:00
36,23,59,6,2024-02-22 02:51:00
36,24,62,6,2024-02-22 03:51:00
36,24,62,7,2024-02-22 04:51:00
35,23,61,7,2024-02-22 05:08:00
36,24,62,6,2024-02-22 05:28:00
36,24,62,6,2024-02-22 05:51:00
36,24,62,6,2024-02-22 06:51:00
35,24,64,5,2024-02-22 07:10:00
35,24,64,8,2024-02-22 07:51:00
36,25,64,9,2024-02-22 08:51:00
38,26,62,9,2024-02-22 09:51:00
39,27,62,7,2024-02-22 10:51:00
42,27,55,9,2024-02-22 11:51:00
40,27,60,12,2024-02-22 12:18:00
41,27,57,12,2024-02-22 12:51:00
42,28,58,13,2024-02-22 13:51:00
42,28,58,13,2024-02-22 13:58:00
41,28,60,12,2024-02-22 14:51:00
42,29,60,15,2024-02-22 15:51:00
42,30,62,13,2024-02-22 16:22:00
41,30,65,12,2024-02-22 16:51:00
41,30,65,15,2024-02-22 17:23:00
40,31,70,13,2024-02-22 17:51:00
40,33,77,13,2024-02-22 18:21:00
40,34,79,13,2024-02-22 18:51:00
41,34,76,13,2024-02-22 19:51:00
41,34,76,13,2024-02-22 20:15:00
41,34,76,14,2024-02-22 20:51:00
41,35,79,10,2024-02-22 21:51:00
41,35,79,9,2024-02-22 22:03:00
41,35,79,10,2024-02-22 22:51:00
41,36,82,10,2024-02-22 23:14:00
41,36,82,9,2024-02-22 23:51:00
44,36,73,8,2024-02-23 00:51:00
42,37,82,3,2024-02-23 01:41:00
42,37,82,6,2024-02-23 01:51:00
41,37,86,7,2024-02-23 02:51:00
40,37,89,8,2024-02-23 03:51:00
40,36,86,9,2024-02-23 04:51:00
40,37,89,3,2024-02-23 05:39:00
40,37,89,6,2024-02-23 05:51:00
40,37,89,8,2024-02-23 06:17:00
40,37,89,5,2024-02-23 06:43:00
39,37,93,6,2024-02-23 06:49:00
40,37,89,6,2024-02-23 06:51:00
41,38,89,3,2024-02-23 07:51:00
43,39,86,3,2024-02-23 08:51:00
43,39,86,7,2024-02-23 09:51:00
43,39,86,3,2024-02-23 10:51:00
44,39,82,8,2024-02-23 11:51:00
45,39,80,5,2024-02-23 12:51:00
46,38,73,7,2024-02-23 13:51:00
45,37,74,9,2024-02-23 14:51:00
45,36,71,10,2024-02-23 15:51:00
45,36,71,7,2024-02-23 16:51:00
45,37,74,6,2024-02-23 17:51:00
46,36,68,6,2024-02-23 18:51:00
46,36,68,6,2024-02-23 19:51:00
45,36,71,8,2024-02-23 20:51:00
45,36,71,6,2024-02-23 21:51:00
44,35,71,0,2024-02-23 22:51:00
44,36,73,8,2024-02-23 23:51:00
30,6,36,15,2024-02-24 00:51:00
43,36,76,7,2024-02-24 01:51:00
43,35,74,7,2024-02-24 02:51:00
43,34,71,9,2024-02-24 03:51:00
42,32,67,13,2024-02-24 04:51:00
41,31,67,14,2024-02-24 05:51:00
41,30,65,8,2024-02-24 06:51:00
41,29,62,13,2024-02-24 07:51:00
41,29,62,12,2024-02-24 08:51:00
41,27,57,10,2024-02-24 09:51:00
40,25,55,17,2024-02-24 10:51:00
40,23,51,15,2024-02-24 11:51:00
41,16,36,14,2024-02-24 12:51:00
42,14,32,12,2024-02-24 13:51:00
43,13,30,13,2024-02-24 14:51:00
43,12,28,10,2024-02-24 15:51:00
43,11,27,12,2024-02-24 16:51:00
41,10,28,13,2024-02-24 17:51:00
40,11,31,12,2024-02-24 18:51:00
37,7,29,17,2024-02-24 19:51:00
36,7,30,16,2024-02-24 20:51:00
34,7,32,16,2024-02-24 21:51:00
32,6,34,15,2024-02-24 22:51:00
31,7,37,13,2024-02-24 23:51:00
36,17,46,10,2024-02-25 00:51:00
28,6,39,13,2024-02-25 01:51:00
27,5,39,12,2024-02-25 02:51:00
26,5,41,10,2024-02-25 03:51:00
25,4,41,9,2024-02-25 04:51:00
25,5,43,7,2024-02-25 05:51:00
24,6,46,7,2024-02-25 06:51:00
24,7,48,7,2024-02-25 07:51:00
25,4,41,7,2024-02-25 08:51:00
26,2,35,7,2024-02-25 09:51:00
28,2,33,0,2024-02-25 10:51:00
31,3,31,5,2024-02-25 11:51:00
33,5,31,6,2024-02-25 12:51:00
36,7,30,3,2024-02-25 13:51:00
37,8,30,6,2024-02-25 14:51:00
38,9,30,0,2024-02-25 15:51:00
38,14,38,13,2024-02-25 16:51:00
36,18,48,15,2024-02-25 17:51:00
34,19,54,12,2024-02-25 18:51:00
35,22,59,12,2024-02-25 19:51:00
36,24,62,12,2024-02-25 20:51:00
36,23,59,9,2024-02-25 21:51:00
36,22,57,8,2024-02-25 22:51:00
37,20,50,10,2024-02-25 23:51:00
43,34,71,3,2024-02-26 00:51:00
35,18,50,12,2024-02-26 01:51:00
35,20,54,10,2024-02-26 02:51:00
36,21,55,9,2024-02-26 03:51:00
36,21,55,12,2024-02-26 04:51:00
36,22,57,9,2024-02-26 05:51:00
36,23,59,10,2024-02-26 06:51:00
36,24,62,7,2024-02-26 07:51:00
38,26,62,13,2024-02-26 08:51:00
40,28,63,7,2024-02-26 09:51:00
41,28,60,8,2024-02-26 10:51:00
43,30,60,12,2024-02-26 11:51:00
44,32,63,3,2024-02-26 12:51:00
47,33,59,5,2024-02-26 13:51:00
50,31,48,7,2024-02-26 14:51:00
53,30,41,8,2024-02-26 15:51:00
51,32,48,9,2024-02-26 16:51:00
49,33,54,13,2024-02-26 17:51:00
47,33,59,10,2024-02-26 18:51:00
46,34,63,7,2024-02-26 19:51:00
47,34,61,7,2024-02-26 20:51:00
46,34,63,0,2024-02-26 21:51:00
