"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT16","WT18"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-12",,,"0.05","0.0","0.0",,"52","37",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-13",,,"0.00","0.0","0.0",,"58","44",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-14",,,"0.00","0.0","0.0",,"52","34",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-15",,,"0.52","2.2","1.0",,"35","28",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-16",,,"0.30","0.0","0.0",,"42","34","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-17",,,"0.01","0.0","0.0",,"45","34","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-18",,,"0.00","0.0","0.0",,"37","28",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-19",,,"1.61","18.0","18.0",,"31","26","    1",,,,,,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-20",,,"0.00","0.0","13.0",,"32","22","    1",,,,,,"    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-21",,,"0.00","0.0","10.0",,"40","20","    1",,,,,,"    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-22",,,"0.00","0.0","9.0",,"43","27","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-23",,,"0.00","0.0","8.0",,"38","28",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-24",,,"0.00","0.0","6.0",,"30","15",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-25",,,"0.02","0.2","7.0",,"24","11",,,,,,,"    1","    1",,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-26",,,"0.00","0.0","7.0",,"20","10",,,,,,,,"    1",,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-27",,,"0.00","0.0","7.0",,"31","8",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-28",,,"0.00","0.0","6.0",,"40","21",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-29",,,"0.22","0.0","0.0",,"50","27","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-30",,,"0.94","0.0","0.0",,"56","47","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-31",,,"1.92","2.0","2.0",,"50","25","    1",,"    1",,"    1",,"    1",,"    1","    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-01",,,"0.27","2.2","3.0",,"33","25",,,,,,,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-02",,,"0.00","0.0","1.0",,"36","29",,,,,,,"    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-03",,,"0.00","0.0","0.0",,"40","28",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-04",,,"0.00","0.0","0.0",,"43","26",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-05",,,"0.95","0.0","0.0",,"50","37","    1","    1",,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-06",,,"0.56","0.0","0.0",,"51","37","    1",,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-07",,,"0.00","0.0","0.0",,"50","35",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-08",,,"0.00","0.0","0.0",,"58","35",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-09",,,"0.00","0.0","0.0",,"53","38",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-10",,,"0.00","0.0","0.0",,"43","37","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-11",,,"0.00","0.0","0.0",,"41","32",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-12",,,"0.00","0.0","0.0",,"37","30",,,,,,,"    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-13",,,"0.00","0.0","0.0",,"44","33",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-14",,,"0.00","0.0","0.0",,"44","29",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-15",,,"0.00","0.0","0.0",,"36","20",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-16",,,"0.00","0.0","0.0",,"49","35",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-17",,,"0.00","0.0","0.0",,"54","41","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1949-01-18",,,"0.00","0.0","0.0",,"48","34",,,,,,,"    1",,"    1",
